Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/23/2016 13:21:46","4","2","Apps","6/24/2016 13:54:13","2","3c3495614eada68b5fa8e19377e1cccd","10","Los Angeles","summerGames (4-week)","9/8/16 14:25","9/8/16 14:27","89b8894183","67","San Francisco","Apps","Week 1","7","Just right",
"6/24/2016 13:58:52","4","2","Apps","6/24/2016 13:54:38","3","8e2309e3a1ba2a5630ea251b96712a9a","8","San Francisco","summerGames","9/8/16 22:00","9/8/16 22:06","01074776b4","72","San Francisco","Apps","Week 1","7","A little too fast",
"6/24/2016 14:12:41","4","2","Apps","6/24/2016 13:30:55","3","44db66e47441ecd2c88dbe5dd3a38e1e","8","New York","summerApps","9/8/16 22:16","9/8/16 22:20","11c95dc87f","75","San Francisco","Apps","Week 1","7","A little too fast",
"6/23/2016 13:19:38","4","3","Apps","6/24/2016 13:33:00","2","80f3d539b648cfaf92b45699e7a0545b","10","San Francisco","summerApps","9/8/16 23:06","9/8/16 23:07","0d6873c5ed","85","Santa Clara","Apps","Week 1","7","A little too fast",
"6/24/2016 9:49:30","4","3","Apps","6/24/2016 13:34:13","3","60343ca18c43feedab8481e25421484d","7","San Francisco","summerApps","9/8/16 23:01","9/8/16 23:11","8a13f23e89","87","San Francisco","Apps","Week 1","7","A little too fast",
"6/24/2016 9:53:41","4","3","Apps","6/24/2016 14:05:25","3","5c99e0aac4efe9eecffd83e50ec7c8db","7","San Francisco","summerIntro","9/9/16 1:41","9/9/16 1:42","830f174273","104","San Francisco","Apps, Explorer","Week 1","7","A little too fast",
"6/24/2016 9:54:45","4","3","Apps","6/24/2016 13:44:05","4","022d99be229f86182ca1c2bc49aa2e09","10","San Francisco","summerIntro","9/9/16 4:22","9/9/16 4:25","9fc69673bd","107","San Francisco","Games","Week 1","7","Just right",
"6/24/2016 11:37:05","4","3","Apps","6/24/2016 13:45:50","3","5a83e1056e30a8596056bec5c050a86d","9","San Francisco","summerApps","9/9/16 11:06","9/9/16 11:09","6d5dece18c","118","San Francisco","Apps, Explorer","Week 1","7","Just right",
"6/24/2016 11:40:59","4","3","Apps","6/24/2016 13:47:01","3","50f1c0545d9cef1c10be657e1083990d","10","New York","summerGames","9/9/16 13:24","9/9/16 13:28","f7f5617754","122","Santa Clara","Apps","Week 1","7","Just right",
"6/24/2016 11:46:04","4","3","Apps","6/24/2016 13:49:01","2","22ac2ab300a76178ce53104d03408c8a","8","San Francisco","summerGames","9/10/16 22:28","9/10/16 22:30","9500d5b989","136","San Francisco","Apps, Explorer","Week 1","7","Just right",
"6/24/2016 13:07:03","4","3","Apps","6/24/2016 13:49:44","3","2d487d890a68bbdb70dd027bc1e501bb","9","San Francisco","summerApps","9/12/16 0:05","9/12/16 0:13","fe650b21f7","140","San Francisco","Apps, Explorer","Week 1","7","A little too fast",
"6/24/2016 13:11:15","4","3","Apps","6/24/2016 13:50:23","4","0cdf8eced1b8791ae536797c75751b25","5","San Francisco","summerVR","9/13/16 4:36","9/13/16 4:42","a7deda5bf5","155","San Francisco","Apps","Week 1","7","Just right",
